"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"PVW","PVW RESOURCES LIMITED","2009-11-12","Materials",29487824
"PWH","PWR HOLDINGS LIMITED","2015-11-18","Automobiles & Components",880599284
"PWN","PARKWAY CORPORATE LIMITED","2011-05-13","Materials",22132624
"PWR","PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","2021-04-27","Retailing",434959083
"PX1","PLEXURE GROUP LIMITED","2020-11-25","Software & Services",77788123
"PXA","PEXA GROUP LIMITED","2021-07-01","Real Estate",2796427677
"PXS","PHARMAXIS LTD","2003-11-10","Pharmaceuticals, Biotechnology & Life Sciences",49403085
"PXX","POLARX LIMITED","2012-12-21","Materials",14811237
"PYC","PYC THERAPEUTICS LIMITED","2005-03-30","Pharmaceuticals, Biotechnology & Life Sciences",257655014
"PYG","PAYGROUP LIMITED","2018-05-29","Software & Services",43781091
"PYR","PAYRIGHT LIMITED","2020-12-23","Diversified Financials",12474137
"QAL","QUALITAS LIMITED","2021-12-16","Diversified Financials",593880000
"QAN","QANTAS AIRWAYS LIMITED","1995-07-31","Transportation",10090339134
"QBE","QBE INSURANCE GROUP LIMITED","1973-06-28","Insurance",18555560770
"QEM","QEM LIMITED","2018-10-19","Materials",24326032
"QFE","QUICKFEE LIMITED","2019-07-11","Diversified Financials",22398611
"QGL","QUANTUM GRAPHITE LIMITED","2014-01-06","Materials",108410000
"QHL","QUICKSTEP HOLDINGS LIMITED","2005-10-17","Capital Goods",33665162
"QIP","QANTM INTELLECTUAL PROPERTY LIMITED","2016-08-31","Commercial & Professional Services",139816829
"QML","QMINES LIMITED","2021-05-06","Materials",28418187
"QPM","QUEENSLAND PACIFIC METALS LIMITED","2008-03-14","Materials",223751404
"QRI","QUALITAS REAL ESTATE INCOME FUND","2018-11-27","Not Applic",562649333
"QUB","QUBE HOLDINGS LIMITED","2007-01-04","Transportation",5222947240
"QUE","QUESTE COMMUNICATIONS LIMITED","1998-11-11","Diversified Financials",1895063
"QVE","QV EQUITIES LIMITED","2014-08-22","Not Applic",238716356
"QXR","QX RESOURCES LIMITED","2011-02-17","Materials",48124290
"R3D","R3D RESOURCES LIMITED","2004-12-17","Media & Entertainment",12127041
"RAB","ADRABBIT LIMITED","2019-08-27","Software & Services",5945647
"RAC","RACE ONCOLOGY LTD","2016-07-13","Pharmaceuticals, Biotechnology & Life Sciences",307075580
"RAD","RADIOPHARM THERANOSTICS LIMITED","2021-11-25","Pharmaceuticals, Biotechnology & Life Sciences",51051947
"RAG","RAGNAR METALS LIMITED","2005-03-31","Materials",14788211
"RAN","RANGE INTERNATIONAL LIMITED","2016-07-22","Materials",10832915
"RAP","RESAPP HEALTH LIMITED","2005-01-12","Health Care Equipment & Services",98807664
"RAS","RAGUSA MINERALS LTD","2010-07-13","Diversified Financials",8698994
"RB6","RUBIX RESOURCES LIMITED","2021-12-23","Materials",6291000
"RBD","RESTAURANT BRANDS NEW ZEALAND LIMITED","2017-09-28","Consumer Services",1553243611
"RBL","REDBUBBLE LIMITED","2016-05-16","Retailing",286957032
"RBR","RBR GROUP LIMITED","2007-02-02","Materials",5794292
"RBX","RESOURCE BASE LIMITED.","2021-07-12","Materials",12486965
"RC1","REDCASTLE RESOURCES LIMITED","2003-03-21","Materials",6237399
"RCE","RECCE PHARMACEUTICALS LTD","2016-01-15","Pharmaceuticals, Biotechnology & Life Sciences",143993724
"RCL","READCLOUD LIMITED","2018-02-07","Software & Services",29941230
